PLAYER_ID,FIRST_NAME,LAST_NAME,SUFFIX,EMAIL_ADDR,PASSWORD,GENDER,DATE_OF_BIRTH,ADDR_LINE1,ADDR_LINE2,CITY,REGION,POST_CODE,CITIZENSHIP,PRIMARY_PHONE,MOBILE_PHONE,SECURITY_QUESTION1,SECURITY_ANSWER1,SECURITY_QUESTION2,SECURITY_ANSWER2,CREATION_DATE,UPDATE_DATE,PLAYER_LOCK_EXPIRE_TIMESTAMP,LAST_LOGIN,LAST_LOGOUT,STATE,COUPON,WINNING_NUMBERS,JACKPOT,NEWSLETTER,WIN_AND_PAYMENT_SYSTEM,SSN4,NEW,REGISTRATION_GAME_CLIENT,WINNING,DEPOSIT,BONUS,DAY_LIMIT,DAY_SPENT_LIMIT,WEEK_LIMIT,WEEK_SPENT_LIMIT,MONTH_LIMIT,MONTH_SPENT_LIMIT,REGISTRATION_LEVEL
12506279,Qatestuserg,Qatestuserglast,,lotterytest7@yahoo.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,1/1/1970,333 Atlanta Street,,Atlanta,GA,30308,Resident,+1 6781234567,+1 6785552256,What was the make of your first car?,atlanta,What is your father's middle name?,atlanta,15:24.0,51:34.0,,53:53.5,19:07.0,Active,0,0,0,0,1,9999,1,Site 36 Mobile App (Registration),1337,0,0,200,20,700,70,2000,362.5,2
12508264,Aurora,Player,Jr,qatest584@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,7/30/1995,112 Maine,A,Decatur,GA,30099,Resident,+1 7704548585,+1 6887552525,What is the first name of your oldest niece or nephew?,a,What is the name of the hospital where you were born?,a,52:16.0,05:09.0,,56:24.0,56:24.0,Active,0,0,0,0,1,1,1,Site 36 Mobile App (Registration),1766,130,0,244,24,728,72,2457,320,2
12508263,Minnie,Mouse,Jr,qatest551@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,9/5/1979,123 Mouse Way,,Atlanta,GA,30343,Resident,+1 4045559898,+1 4045559898,What is your father's middle name?,Vincent,In what city were you born?,Valparaiso,42:26.0,05:14.0,,45:42.8,46:50.6,Active,0,0,0,0,1,5552,1,Site 36 Mobile App (Registration),1546,19,0,10,,25,,2000,1450,2
12508262,Lily,Blake,,qatest602@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,5/9/1938,5584 Branson Ln,A,Stockbridge,GA,30099,Resident,+1 8645156544,+1 8645156544,What was the first live concert that you attended?,2,Who is your favorite author?,1,24:14.0,39:01.0,,39:01.8,41:33.2,Active,0,0,0,0,1,1116,1,Site 36 Mobile App (Registration),410,1591,0,250,25,750,75,2500,703,2
12508261,Asdasdasd,Jkhkj,Ii,cat1_lev2_6@example.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,11/10/1981,Sdsdfsdf,Dssdfsdfdsf,Sfsdf,GA,30005,Resident,+1 8979472947,+1 8979472947,What was the name of your first school teacher?,sdsdsd,What is your father's middle name?,sdsdsd,57:27.0,51:34.0,,08:48.0,23:55.3,Active,0,0,0,0,1,2424,1,Site 36 Mobile App (Registration),0,0,0,,,,,,,2
12508260,Aurora,Player,I,qatest583@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,9/5/1980,1234 Main,,Decatur,GA,30087,Resident,+1 7705256565,+1 7705256565,What was the name of your elementary/primary school?,a,What is your favorite song?,a,45:35.0,36:48.0,,36:48.9,38:00.6,Active,0,0,0,0,1,1000,1,Site 36 Mobile App (Registration),861,195,118,250,15,750,73.55,2402,610,2
12508259,Marvin,Gaye,I,marvin2@georgialotto.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,11/5/1988,8651 Gegsge,,Agesg,GA,30011,Resident,+1 8645615645,+1 8645615645,What city or town was your mother born in?,2,What was the name of your first pet?,1,27:02.0,36:04.0,,36:04.1,57:51.2,Active,0,0,0,0,1,1165,1,Site 36 Mobile App (Registration),29,64,0,,,,,,,2
12508257,Aurora,Player,Sr,qatest582@galottery.com,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,7/24/1995,123 Maine,A,Duluth,GA,30033,Resident,+1 7708552323,+1 6787709876,What was the name of your elementary/primary school?,A,What was the make of your first car?,A,12:00.0,48:25.0,,48:25.8,14:04.0,Active,0,0,0,0,0,1234,1,Site 36 Mobile App (Registration),1776,0,0,210,21,730,62,2230,466,2
12508253,Linda,Hamilton,Iii,qatest600@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,5/9/1983,8654 Dgeebe,,Stockbridge,GA,30096,Resident,+1 8945612159,+1 8945612159,What is your favorite song?,2,What was the make of your first car?,1,14:11.0,39:10.0,,39:10.5,39:29.2,Active,0,0,0,0,1,1114,1,Site 36 Mobile App (Registration),612.45,70,0,250,12,750,35,2500,2268,2
12508254,James,Cameron,Iv,qatest680@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,10/2/1949,45648 Gdsge,,Gewsgsg,GA,30111,Resident,+1 4560456456,+1 4560456456,What was the first live concert that you attended?,2,What was the name of your first school teacher?,1,32:42.0,05:06.0,,39:02.0,56:50.9,Active,0,0,0,0,1,1115,1,Site 36 Mobile App (Registration),20,95,0,250,11,701,45,2500,400,2
12508255,Aurora,Player,I,qatest581@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,8/1/1996,12main,,Suwanee,GA,30021,Resident,+1 6787705232,+1 6787705232,What is the name of the hospital where you were born?,a,What was the make of your first car?,a,30:41.0,54:47.0,,54:47.5,55:20.8,Active,0,0,0,1,1,2006,1,Site 36 Mobile App (Registration),1737,157.5,0,210,21,410,40,2500,258.5,2
12508279,Aurora,Player,Sr,qatest586@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Female,1/2/1989,144 Main,,Decatur,GA,30098,Resident,+1 7704546565,+1 7704546565,What was the first live concert that you attended?,a,What is the name of the street you lived on in third grade?,a,35:30.0,06:18.0,,06:18.6,10:41.7,Active,0,0,0,0,1,2000,1,Site 36 Mobile App (Registration),1491.5,204.5,0,150,10,200,20,1500,2388.5,2
12508281,Aurora,Player,Sr,qatest587@georgialotto.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,8/2/1996,45main,,Athens,GA,30056,Resident,+1 6785253636,+1 6785253636,What was the first live concert that you attended?,A,What was the name of your first school teacher?,A,26:14.0,05:09.0,,33:39.5,06:29.9,Active,0,0,0,0,1,2,1,Site 36 Mobile App (Registration),1951.5,22,0,241,20,750,75,2498,463,2
12508282,Aurora,Player,,qatest588@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,9/23/1991,100main,323,Fayetteville,GA,30215,Resident,+1 7708586969,+1 7708586969,Where did you spend your honeymoon?,a,What was the name of your first school teacher?,a,53:01.0,59:04.0,,59:04.4,59:04.4,Active,0,0,0,0,1,1001,1,Site 36 Mobile App (Registration),1579.5,420,45,100,10,550,55,1500,484.5,2
12508286,Hermione,Player,,qatest611@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,2/1/1995,10 Main,C,Vinings,GA,30058,Resident,+1 7704546565,+1 7704546565,What is the first name of your oldest niece or nephew?,a,What was the make of your first car?,a,45:20.0,48:32.0,,48:32.1,54:35.9,Active,0,0,0,0,1,6110,1,Site 36 Mobile App (Registration),20,1971,0,250,7.56,750,36.6,2500,416,2
12508289,Ron,Playerss,,qatest612@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Unspecified,1/4/1977,100main,,Alpharetta,GA,30089,Resident,+1 7704548989,+1 7704548989,In what city were you born?,test,What was the name of your elementary/primary school?,test,48:51.0,20:04.0,,20:04.7,22:15.5,Active,0,0,0,0,1,1234,1,Site 36 Mobile App (Registration),24,1963,0,201,2,701,7,2201,625,2
12510261,Aurora,Player,,qatest589@galottery.org,iqPRit5FVFEJP58nl10UHZ1EEN8KJszR9jCNC9UJOQPColUoNhxHRkTD9XnDbw==,Male,9/8/1988,12 Maines,,Acworth,GA,30088,Resident,+1 7709897878,+1 7709897878,What was the name of your elementary/primary school?,a,What was the make of your first car?,a,03:52.0,34:12.0,,34:12.5,40:36.3,Active,0,0,0,1,1,2020,1,Site 36 Mobile App (Registration),1848,151,10,225,200,740,100,2400,391,2
