PLAYER_ID,FIRST_NAME,LAST_NAME,SUFFIX,EMAIL_ADDR,PASSWORD,GENDER,DATE_OF_BIRTH,ADDR_LINE1,ADDR_LINE2,CITY,REGION,POST_CODE,CITIZENSHIP,PRIMARY_PHONE,MOBILE_PHONE,SECURITY_QUESTION1,SECURITY_ANSWER1,SECURITY_QUESTION2,SECURITY_ANSWER2,STATE,COUPON,WINNING_NUMBERS,JACKPOT,NEWSLETTER,WIN_AND_PAYMENT_SYSTEM,SSN4,WINNING,DEPOSIT,BONUS,Total Balance,DAY_LIMIT,DAY_SPENT_LIMIT,WEEK_LIMIT,WEEK_SPENT_LIMIT,MONTH_LIMIT,MONTH_SPENT_LIMIT,REGISTRATION_LEVEL
12506279,Qatestuserg,Qatestuserglast,,lotterytest7@yahoo.com,Password1,Unspecified,1/1/1970,333 Atlanta Street,,Atlanta,GA,30308,Resident,+1 6781234567,+1 6785552256,What was the make of your first car?,atlanta,What is your father's middle name?,atlanta,Active,0,0,0,0,1,9999,1337,0,0,1337,200,20,700,70,2000,362.5,2
12508264,Aurora,Player,Jr,qatest584@galottery.org,Password1,Male,7/30/1995,112 Maine,A,Decatur,GA,30099,Resident,+1 7704548585,+1 6887552525,What is the first name of your oldest niece or nephew?,a,What is the name of the hospital where you were born?,a,Active,0,0,0,0,1,1,1766,130,0,1896,244,24,728,72,2457,320,2
12508263,Minnie,Mouse,Jr,qatest551@galottery.org,Password1,Male,9/5/1979,123 Mouse Way,,Atlanta,GA,30343,Resident,+1 4045559898,+1 4045559898,What is your father's middle name?,Vincent,In what city were you born?,Valparaiso,Active,0,0,0,0,1,5552,1546,19,0,1565,10,,25,,2000,1450,2
12508262,Lily,Blake,,qatest602@galottery.org,Password1,Male,5/9/1938,5584 Branson Ln,A,Stockbridge,GA,30099,Resident,+1 8645156544,+1 8645156544,What was the first live concert that you attended?,2,Who is your favorite author?,1,Active,0,0,0,0,1,1116,410,1591,0,2001,250,25,750,75,2500,703,2
12508261,Asdasdasd,Jkhkj,Ii,cat1_lev2_6@example.com,Password1,Male,11/10/1981,Sdsdfsdf,Dssdfsdfdsf,Sfsdf,GA,30005,Resident,+1 8979472947,+1 8979472947,What was the name of your first school teacher?,sdsdsd,What is your father's middle name?,sdsdsd,Active,0,0,0,0,1,2424,0,0,0,0,,,,,,,2
12508260,Aurora,Player,I,qatest583@galottery.org,Password1,Unspecified,9/5/1980,1234 Main,,Decatur,GA,30087,Resident,+1 7705256565,+1 7705256565,What was the name of your elementary/primary school?,a,What is your favorite song?,a,Active,0,0,0,0,1,1000,861,195,118,1174,250,15,750,73.55,2402,610,2
12508259,Marvin,Gaye,I,marvin2@georgialotto.com,Password1,Unspecified,11/5/1988,8651 Gegsge,,Agesg,GA,30011,Resident,+1 8645615645,+1 8645615645,What city or town was your mother born in?,2,What was the name of your first pet?,1,Active,0,0,0,0,1,1165,29,64,0,93,,,,,,,2
12508257,Aurora,Player,Sr,qatest582@galottery.com,Password1,Unspecified,7/24/1995,123 Maine,A,Duluth,GA,30033,Resident,+1 7708552323,+1 6787709876,What was the name of your elementary/primary school?,A,What was the make of your first car?,A,Active,0,0,0,0,0,1234,1776,0,0,1776,210,21,730,62,2230,466,2
12508253,Linda,Hamilton,Iii,qatest600@galottery.org,Password1,Male,5/9/1983,8654 Dgeebe,,Stockbridge,GA,30096,Resident,+1 8945612159,+1 8945612159,What is your favorite song?,2,What was the make of your first car?,1,Active,0,0,0,0,1,1114,612.45,70,0,682.45,250,12,750,35,2500,2268,2
12508254,James,Cameron,Iv,qatest680@galottery.org,Password1,Male,10/2/1949,45648 Gdsge,,Gewsgsg,GA,30111,Resident,+1 4560456456,+1 4560456456,What was the first live concert that you attended?,2,What was the name of your first school teacher?,1,Active,0,0,0,0,1,1115,20,95,0,115,250,11,701,45,2500,400,2
12508255,Aurora,Player,I,qatest581@galottery.org,Password1,Male,8/1/1996,12main,,Suwanee,GA,30021,Resident,+1 6787705232,+1 6787705232,What is the name of the hospital where you were born?,a,What was the make of your first car?,a,Active,0,0,0,1,1,2006,1737,157.5,0,1894.5,210,21,410,40,2500,258.5,2
12508279,Aurora,Player,Sr,qatest586@galottery.org,Password1,Female,1/2/1989,144 Main,,Decatur,GA,30098,Resident,+1 7704546565,+1 7704546565,What was the first live concert that you attended?,a,What is the name of the street you lived on in third grade?,a,Active,0,0,0,0,1,2000,1491.5,204.5,0,1696,150,10,200,20,1500,2388.5,2
12508281,Aurora,Player,Sr,qatest587@georgialotto.org,Password1,Male,8/2/1996,45main,,Athens,GA,30056,Resident,+1 6785253636,+1 6785253636,What was the first live concert that you attended?,A,What was the name of your first school teacher?,A,Active,0,0,0,0,1,2,1951.5,22,0,1973.5,241,20,750,75,2498,463,2
12508282,Aurora,Player,,qatest588@galottery.org,Password1,Male,9/23/1991,100main,323,Fayetteville,GA,30215,Resident,+1 7708586969,+1 7708586969,Where did you spend your honeymoon?,a,What was the name of your first school teacher?,a,Active,0,0,0,0,1,1001,1579.5,420,45,2044.5,100,10,550,55,1500,484.5,2
12508286,Hermione,Player,,qatest611@galottery.org,Password1,Male,2/1/1995,10 Main,C,Vinings,GA,30058,Resident,+1 7704546565,+1 7704546565,What is the first name of your oldest niece or nephew?,a,What was the make of your first car?,a,Active,0,0,0,0,1,6110,20,1971,0,1991,250,7.56,750,36.6,2500,416,2
12508289,Ron,Playerss,,qatest612@galottery.org,Password1,Unspecified,1/4/1977,100main,,Alpharetta,GA,30089,Resident,+1 7704548989,+1 7704548989,In what city were you born?,test,What was the name of your elementary/primary school?,test,Active,0,0,0,0,1,1234,24,1963,0,1987,201,2,701,7,2201,625,2
12510261,Aurora,Player,,qatest589@galottery.org,Password1,Male,9/8/1988,12 Maines,,Acworth,GA,30088,Resident,+1 7709897878,+1 7709897878,What was the name of your elementary/primary school?,a,What was the make of your first car?,a,Active,0,0,0,1,1,2020,1848,151,10,2009,225,200,740,100,2400,391,2
12510280,Rr,Player,,rr5@galottery.org,Password1,Unspecified,9/8/1977,1000 Williams Street,,Atlanta,GA,30025,Resident,+1 7704558585,+1 7704558585,What was the make of your first car?,a,In what city were you born?,a,Active,0,0,0,0,1,1000,0,0,0,0,250,20,749,74,2499,249,2
12510287,Dean,Thomas,,qatest619@galottery.org,Password1,Unspecified,8/7/1952,88 Penelope,,Hogwarts,GA,30052,Resident,+1 8356565653,+1 8356565653,What was the name of your first school teacher?,2,What is the first name of your oldest niece or nephew?,1,Active,0,0,0,0,1,1133,25.17,306,151,482.17,250,,750,,2500,,2
12514512,Rr,Player,,rr27@galottery.org,Password1,Unspecified,9/5/1965,102 Main,R,Decatur,GA,30024,Resident,+1 6458589898,+1 6458589898,What was the make of your first car?,a,In what city were you born?,a,Active,0,0,0,0,1,1008,0,0,0,0,245,34,749,79,2499,360,2
12514508,Rrr,Player,,rr25@galottery.org,Password1,Unspecified,2/3/1996,125 Street,,Decatur,GA,30056,Resident,+1 7704587878,+1 7704587878,What is the first name of your oldest niece or nephew?,a,What was the make of your first car?,a,Active,0,0,0,0,1,1236,0,0,0,0,100,,300,,2000,,2
12518275,Fenix,Cat,,fenixcatplayer@gmail.com,Password1,Unspecified,1/1/1970,789 Main Street,Fghfhhfh,Atlanta,GA,30303,Resident,+1 7705551212,+1 7705552121,What was the name of your elementary/primary school?,Fbnn,In what city were you born?,Cvbn,Active,0,0,0,0,1,606,402.5,0,0,402.5,250,25,750,75,2500,378.5,2
12518313,Fenix One,One,,fenixone@georgialotto.org,Password1,Unspecified,1/27/1993,100 Main,,Grayson,GA,30305,Resident,+1 7813212124,+1 2036568988,What was the make of your first car?,a,In what city were you born?,a,Active,0,0,0,0,1,9990,1144.5,10.5,0,1155,50,6,750,12,2500,654,2
12518391,Fenixtwo,Player,,fenixtwo@georgialotto.org,Password1,Unspecified,9/8/1997,110 Flower Street,A,Athens ,GA,30052,Resident,+1 7708552323,+1 7708552323,What was the make of your first car?,a,In what city were you born?,a,Active,0,0,0,1,1,1235,522,13,0,535,50,1,100,177.5,200,277.5,2
12518397,Petunia,Dursley,,qatest633@galottery.org,Password1,Unspecified,8/5/1995,33 Lotus Street,,Alpharetta,GA,30082,Resident,+1 7704542121,+1 6785421212,What is the name of your oldest niece or nephew?,A,What is your favorite song?,A,Active,0,0,0,0,1,5123,25,42,0,67,100,10,750,18,2500,28,2
12518398,Feenniixx Three,Player,,feenniixx3.email@georgialotto.org,Password1,Unspecified,1/11/1981,100 Main,,Athens,GA,30056,Resident,+1 7704542121,+1 7704542121,,,,,Active,0,0,0,0,1,1212,5.5,0,0,5.5,,,,,,,2
12518399,Fenixx Threee,Player,,fenixx.threee@georgialotto.org,Password1,Unspecified,1/1/1980,121 Main ,,Dekalb,GA,30066,Resident,+1 7708554241,+1 7705009000,What was the make of your first car?,a,In what city were you born?,a,Active,0,0,0,0,1,1212,37,22,0,59,60,6,750,700,2500,751,2
12518622,Cindy,Smith,,qatest411@galottery.org,Password1,Female,8/8/1988,123 Highway 78,,Stone Mountain,GA,30087,Resident,+1 6781992000,+1 6781992000,What is your favorite song?,Lala,What was the first live concert that you attended?,Lala,Active,0,0,0,0,1,8759,262.26,0,0,262.26,250,20,750,78,2500,1539.5,2
12518638,Merryweather,Fairy,,qatest653@galottery.org,Password1,Female,9/2/1988,1234 Xavier Way,,Atlanta,GA,30305,Resident,+1 4045575555,+1 4045575555,What is your father's middle name?,Bjj,In what city were you born?,Bjd,Active,0,0,0,0,0,3456,701,0,0,701,250,12,750,17.4,2500,4467,2
12428334,Sophie,Kuisl,,sophiek@gmail.com,Password1,Female,3/15/1979,789 Main,,Atlanta,GA,30005,Resident,+1 3283898383,+1 3283898383,What was the name of your first school teacher?,Bill,In what city were you born?,Miami,Active,0,0,0,0,1,2828,0,0,0,0,10,,10,,10,,2
12430396,Fantasy Portal,Rakhi,,qatest201@galottery.org,Password1,Unspecified,7/20/1984,789 Main,201,Duluth,GA,30005,Resident,+1 6786876877,+1 6786876877,What is the first name of your high school prom date?,acdfg,What was the first live concert that you attended?,abc,Active,0,0,0,0,1,9998,13304.4,10.5,0,13314.9,,,,,,,2
12442248,Hammy,Sandwich Test,,hammy.sandwich@gtech.com,Password1,Unspecified,6/6/1980,789 Deli Street,,Atlanta,GA,30303,Resident,+1 5555555556,+1 5555555556,What is your father's middle name?,Name,In what city were you born?,City,Active,0,0,0,0,1,3387,245,0,0,245,100,11,750,18,2500,116,2
12448256,Tom,Cruise,,tom71@yahoo.co.in,Password1,Unspecified,7/23/1997,No 789 Test Street,Test,Macon,GA,30005,Resident,+1 6546554654,+1 5435435439,What was the name of your first pet?,res,What is your favorite song?,tedr,Active,0,1,0,1,1,6437,32.65,108,0,140.65,250,25,750,75,2500,122.5,2
12456434,Portall,Playerss,,portall.player@gmail.com,Password1,Unspecified,1/2/1977,789 Williams Street,A1,Atlanta,GA,30303,Resident,+1 6785551212,+1 7702222222,Where did you spend your honeymoon?,cdd,What was the make of your first car?,cd,Active,0,1,0,0,1,7214,1318,408,0,1726,250,10,750,1745.50,2500,3037,2
