EMAIL_ADDR,PASSWORD,WINNING,DEPOSIT,BONUS,Total Balance
lotterytest7@yahoo.com,Password1,1337,0,0,1337
qatest584@galottery.org,Password1,1766,130,0,1896
qatest551@galottery.org,Password1,1546,19,0,1565
qatest602@galottery.org,Password1,410,1591,0,2001
cat1_lev2_6@example.com,Password1,0,0,0,0
qatest583@galottery.org,Password1,861,195,118,1174
marvin2@georgialotto.com,Password1,29,64,0,93
qatest582@galottery.com,Password1,1776,0,0,1776
qatest600@galottery.org,Password1,612.45,70,0,682.45
qatest680@galottery.org,Password1,20,95,0,115
qatest581@galottery.org,Password1,1737,157.5,0,1894.5
qatest586@galottery.org,Password1,1491.5,204.5,0,1696
qatest587@georgialotto.org,Password1,1951.5,22,0,1973.5
qatest588@galottery.org,Password1,1579.5,420,45,2044.5
qatest611@galottery.org,Password1,20,1971,0,1991
qatest612@galottery.org,Password1,24,1963,0,1987
qatest589@galottery.org,Password1,1848,151,10,2009
rr5@galottery.org,Password1,0,0,0,0
qatest619@galottery.org,Password1,25.17,306,151,482.17
rr27@galottery.org,Password1,0,0,0,0
rr25@galottery.org,Password1,0,0,0,0
fenixcatplayer@gmail.com,Password1,402.5,0,0,402.5
fenixone@georgialotto.org,Password1,1144.5,10.5,0,1155
fenixtwo@georgialotto.org,Password1,522,13,0,535
qatest633@galottery.org,Password1,25,42,0,67
feenniixx3.email@georgialotto.org,Password1,5.5,0,0,5.5
fenixx.threee@georgialotto.org,Password1,37,22,0,59
qatest411@galottery.org,Password1,262.26,0,0,262.26
qatest653@galottery.org,Password1,701,0,0,701
sophiek@gmail.com,Password1,0,0,0,0
qatest201@galottery.org,Password1,13304.4,10.5,0,13314.9
hammy.sandwich@gtech.com,Password1,245,0,0,245
tom71@yahoo.co.in,Password1,32.65,108,0,140.65
portall.player@gmail.com,Password1,1318,408,0,1726
qqaa.leevveell@gmail.com,Password1,1881,0,0,1881
alll.jonesss@galottery.org,Password1,39,0,0,39
amsaavallii.kasi@igt.com,Password1,0,50,0,50
qatest599@galottery.org,Password1,0,0,0,0
rr17@galottery.org,Password1,0,0,0,0
rr18@galottery.org,Password1,0,0,0,0
rr20@galottery.org,Password1,0,0,0,0
rr22@galottery.org,Password1,0,0,0,0
rr23@galottery.org,Password1,0,100,0,100
test5555@gmail.com,Password1,0,0,0,0
test5558@gmail.com,Password1,0,0,0,0
test5559@gmail.com,Password1,0,0,0,0
fenixsix@georgialotto.org,Password1,39,15,0,54
0zero@georgialotto.com,Password1,20,1961.5,0,1981.5
alchemicalwater@igt.com,Password1,0,10,0,10
keno19@georgialotto.com,Password1,1914,82,0,1996
